ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND,bezirk_id,bezirk_name,ZEITUNTERSCHIED,ZEIT_BIS_TATZEIT
2023-09-08,2023-09-07,16:00,2023-09-07,18:00,300,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,1 days
2023-09-08,2023-09-08,13:00,2023-09-08,13:00,0,Ja,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,0 days,0 days
2023-09-08,2023-09-08,09:00,2023-09-08,15:00,1300,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,4,Charlottenburg-Wilmersdorf,0 days,0 days
2023-09-08,2023-08-27,19:00,2023-08-28,08:00,900,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,12,Reinickendorf,1 days,12 days
2023-09-08,2023-09-08,09:00,2023-09-08,16:00,649,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,0 days
2023-09-08,2023-09-08,17:00,2023-09-08,18:00,649,Nein,Mountainbike,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,12,Reinickendorf,0 days,0 days
2023-09-08,2023-09-03,15:00,2023-09-04,12:00,830,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,1 days,5 days
2023-09-08,2023-09-07,19:00,2023-09-07,20:00,1019,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,4,Charlottenburg-Wilmersdorf,0 days,1 days
2023-09-08,2023-09-08,00:00,2023-09-08,01:00,2999,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,0 days
2023-09-08,2023-09-04,08:00,2023-09-04,21:00,300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,4 days
2023-09-08,2023-09-06,21:00,2023-09-07,16:00,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,1 days,2 days
2023-09-08,2023-09-07,22:00,2023-09-08,08:00,1169,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,1 days,1 days
2023-09-08,2023-09-07,08:00,2023-09-07,18:00,1100,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,1 days
2023-09-08,2023-09-07,18:00,2023-09-07,22:00,1080,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,1 days
2023-09-08,2023-09-07,13:00,2023-09-07,21:00,850,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,1 days
2023-09-08,2023-09-08,08:00,2023-09-08,08:00,2,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,4,Charlottenburg-Wilmersdorf,0 days,0 days
2023-09-08,2023-09-07,20:00,2023-09-08,09:00,300,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,1 days,1 days
2023-09-08,2023-09-07,19:00,2023-09-08,10:00,2000,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,1 days,1 days
2023-09-08,2023-08-15,06:00,2023-08-15,11:00,520,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,4,Charlottenburg-Wilmersdorf,0 days,24 days
2023-09-08,2023-08-22,13:00,2023-08-22,21:00,414,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,0 days,17 days
2023-09-08,2023-09-07,10:00,2023-09-07,21:00,1005,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9,Treptow-Köpenick,0 days,1 days
2023-09-08,2023-09-07,17:00,2023-09-08,13:00,1165,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,4,Charlottenburg-Wilmersdorf,1 days,1 days
2023-09-08,2023-09-08,16:00,2023-09-08,18:00,1463,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,0 days
2023-09-08,2023-09-07,18:00,2023-09-08,06:00,1449,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,1 days
2023-09-08,2023-09-07,20:00,2023-09-08,07:00,4432,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,1 days,1 days
2023-09-08,2023-08-28,18:00,2023-08-30,07:00,370,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,5,Spandau,2 days,11 days
2023-09-08,2023-09-08,10:00,2023-09-08,11:00,2247,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,0 days,0 days
2023-09-08,2023-09-08,07:00,2023-09-08,14:00,680,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,0 days
2023-09-08,2023-09-07,18:00,2023-09-08,05:00,1399,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,1 days,1 days
2023-09-08,2023-09-08,08:00,2023-09-08,14:00,600,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,0 days
2023-09-08,2023-09-03,13:00,2023-09-03,22:00,660,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,5 days
2023-09-08,2023-09-08,10:00,2023-09-08,18:00,50,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,0 days,0 days
2023-09-08,2023-09-07,21:00,2023-09-08,11:00,799,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,1 days,1 days
2023-09-08,2023-09-08,14:00,2023-09-08,18:00,816,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,0 days
2023-09-08,2023-09-08,15:00,2023-09-08,19:00,1085,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,0 days
2023-09-08,2023-09-08,12:00,2023-09-08,21:00,2250,Nein,Fahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,11,Lichtenberg,0 days,0 days
2023-09-08,2023-09-06,07:00,2023-09-07,14:00,1510,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,1 days,2 days
2023-09-08,2023-09-07,07:00,2023-09-07,18:00,699,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,6,Steglitz-Zehlendorf,0 days,1 days
2023-09-08,2023-09-07,06:00,2023-09-08,07:00,1700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,1 days
2023-09-08,2023-09-06,19:00,2023-09-07,07:00,2899,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,1 days,2 days
2023-09-08,2023-08-24,14:00,2023-08-25,22:00,250,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,1 days,15 days
2023-09-08,2023-09-07,07:00,2023-09-07,19:00,910,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9,Treptow-Köpenick,0 days,1 days
2023-09-08,2023-09-06,15:00,2023-09-07,16:00,1000,Nein,Damenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,5,Spandau,1 days,2 days
2023-09-08,2023-09-06,22:00,2023-09-08,15:00,710,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,2 days,2 days
2023-09-08,2023-09-08,14:00,2023-09-08,14:00,370,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,1,Mitte,0 days,0 days
2023-09-08,2023-05-30,08:00,2023-05-30,18:00,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,0 days,101 days
2023-09-08,2023-09-07,16:00,2023-09-07,19:00,734,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,1 days
2023-09-08,2023-09-07,20:00,2023-09-08,14:00,430,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,1 days
2023-09-08,2023-09-08,04:00,2023-09-08,07:00,1350,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,0 days
2023-09-07,2023-09-07,16:00,2023-09-07,17:00,250,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,0 days,0 days
2023-09-07,2023-09-07,11:00,2023-09-07,12:00,3299,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,6,Steglitz-Zehlendorf,0 days,0 days
2023-09-07,2023-09-06,14:00,2023-09-07,07:00,364,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,1 days
2023-09-07,2023-09-06,22:00,2023-09-07,08:00,665,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9,Treptow-Köpenick,1 days,1 days
2023-09-07,2023-09-06,17:00,2023-09-06,23:00,3650,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,0 days,1 days
2023-09-07,2023-09-06,18:00,2023-09-06,20:00,1032,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,1,Mitte,0 days,1 days
2023-09-07,2023-09-06,20:00,2023-09-06,22:00,1700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,5,Spandau,0 days,1 days
2023-09-07,2023-09-06,18:00,2023-09-07,12:00,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,1 days,1 days
2023-09-07,2023-09-06,01:00,2023-09-06,05:00,200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,0 days,1 days
2023-09-07,2023-08-29,00:00,2023-08-29,08:00,100,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,8,Neukölln,0 days,9 days
2023-09-07,2023-09-07,14:00,2023-09-07,17:00,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,0 days,0 days
2023-09-07,2023-09-05,21:00,2023-09-06,19:00,659,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,1 days,2 days
2023-09-07,2023-09-06,18:00,2023-09-07,07:00,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,1 days,1 days
2023-09-07,2023-09-07,08:00,2023-09-07,10:00,700,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,0 days,0 days
2023-09-07,2023-08-26,10:00,2023-08-27,19:00,437,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,6,Steglitz-Zehlendorf,1 days,12 days
2023-09-07,2023-09-04,18:00,2023-09-06,12:00,1098,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,2 days,3 days
2023-09-07,2023-09-06,16:00,2023-09-07,15:00,298,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,1 days,1 days
2023-09-07,2023-09-07,10:00,2023-09-07,14:00,30,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,4,Charlottenburg-Wilmersdorf,0 days,0 days
2023-09-07,2023-03-10,08:00,2023-03-10,14:00,430,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,0 days,181 days
